Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,^FTSE,^GSPC,^N225,^NSEI,^FTSE,^GSPC,^N225,^NSEI,^FTSE,^GSPC,^N225,^NSEI,^FTSE,^GSPC,^N225,^NSEI,^FTSE,^GSPC,^N225,^NSEI
Date,,,,,,,,,,,,,,,,,,,,
2020-02-18,7382.0,3370.2900390625,23193.80078125,11992.5,7433.2998046875,3375.010009765625,23402.009765625,12030.75,7353.39990234375,3355.610107421875,23133.599609375,11908.0498046875,7433.2998046875,3369.0400390625,23398.5703125,12028.25,786827200.0,3750400000.0,59500000.0,676900.0
2020-02-19,7457.0,3386.14990234375,23400.69921875,12125.900390625,7462.0,3393.52001953125,23468.560546875,12134.7001953125,7382.0,3378.830078125,23234.9609375,12042.099609375,7382.0,3380.389892578125,23329.330078125,12090.599609375,602975900.0,3614200000.0,61600000.0,513600.0
2020-02-20,7436.60009765625,3373.22998046875,23479.150390625,12080.849609375,7480.5,3389.14990234375,23806.560546875,12152.0,7436.60009765625,3341.02001953125,23426.419921875,12071.4501953125,7457.0,3380.449951171875,23666.580078125,12119.0,780481500.0,4019180000.0,63300000.0,502600.0
2020-02-21,7403.89990234375,3337.75,23386.740234375,,7436.7001953125,3360.760009765625,23588.55078125,,7370.60009765625,3328.449951171875,23378.330078125,,7436.60009765625,3360.5,23427.76953125,,872594700.0,3908780000.0,62100000.0,
2020-02-24,7156.7998046875,3225.889892578125,,11829.400390625,7403.89990234375,3259.81005859375,,12012.5498046875,7114.5,3214.64990234375,,11813.400390625,7403.89990234375,3257.610107421875,,12012.5498046875,1081479400.0,4851160000.0,,490800.0
2020-02-25,7017.89990234375,3128.2099609375,22605.41015625,11797.900390625,7198.2001953125,3246.989990234375,22950.23046875,11883.0498046875,7004.89990234375,3118.77001953125,22335.2109375,11779.900390625,7156.7998046875,3238.93994140625,22949.369140625,11877.5,976469000.0,5596760000.0,105800000.0,461000.0
2020-02-26,7042.5,3116.389892578125,22426.189453125,11678.5,7044.7001953125,3182.510009765625,22456.55078125,11783.25,6871.89990234375,3108.989990234375,22127.419921875,11639.599609375,7017.89990234375,3139.89990234375,22374.140625,11738.5498046875,982409600.0,5484650000.0,99300000.0,567600.0
2020-02-27,6796.39990234375,2978.760009765625,21948.23046875,11633.2998046875,7042.5,3097.070068359375,22272.259765625,11663.849609375,6730.0,2977.389892578125,21844.2890625,11536.7001953125,7042.5,3062.5400390625,22255.830078125,11661.25,1224827000.0,7064710000.0,106200000.0,608600.0
2020-02-28,6580.60009765625,2954.219970703125,21142.9609375,11201.75,6796.39990234375,2959.719970703125,21528.130859375,11384.7998046875,6460.10009765625,2855.840087890625,20916.400390625,11175.0498046875,6796.39990234375,2916.89990234375,21518.009765625,11382.0,1979835300.0,8569570000.0,148500000.0,809900.0
2020-03-02,6654.89990234375,3090.22998046875,21344.080078125,11132.75,6775.2001953125,3090.9599609375,21593.109375,11433.0,6496.0,2945.18994140625,20834.2890625,11036.25,6580.60009765625,2974.280029296875,20849.7890625,11387.349609375,1770844200.0,6381330000.0,123700000.0,680800.0
2020-03-03,6718.2001953125,3003.3701171875,21082.73046875,11303.2998046875,6846.2998046875,3136.719970703125,21719.779296875,11342.25,6654.89990234375,2976.6298828125,21082.73046875,11152.5498046875,6654.89990234375,3096.4599609375,21651.990234375,11217.5498046875,1277190200.0,6376510000.0,105300000.0,696500.0
2020-03-04,6815.60009765625,3130.1201171875,21100.060546875,11251.0,6856.2998046875,3130.969970703125,21245.9296875,11356.599609375,6700.2001953125,3034.3798828125,20862.05078125,11082.150390625,6718.2001953125,3045.75,20897.19921875,11351.349609375,1115783100.0,5073020000.0,94600000.0,797700.0
2020-03-05,6705.39990234375,3023.93994140625,21329.119140625,11269.0,6834.10009765625,3083.0400390625,21399.869140625,11389.5,6662.60009765625,2999.830078125,21220.759765625,11244.599609375,6815.60009765625,3075.699951171875,21399.869140625,11306.0498046875,1146893100.0,5579290000.0,85700000.0,1352500.0
2020-03-06,6462.60009765625,2972.3701171875,20749.75,10989.4501953125,6705.39990234375,2985.929931640625,21061.19921875,11035.099609375,6431.39990234375,2901.5400390625,20613.91015625,10827.400390625,6705.39990234375,2954.199951171875,21009.80078125,10942.650390625,1377953500.0,6555240000.0,111700000.0,1811000.0
2020-03-09,5965.7998046875,2746.56005859375,19698.759765625,10451.4501953125,6462.60009765625,2863.889892578125,20347.189453125,10751.5498046875,5891.60009765625,2734.429931640625,19472.259765625,10294.4501953125,6462.60009765625,2863.889892578125,20343.310546875,10742.0498046875,2098798700.0,8441290000.0,170300000.0,1565500.0
2020-03-10,5960.2001953125,2882.22998046875,19867.119140625,,6231.10009765625,2882.590087890625,19970.349609375,,5927.89990234375,2734.0,18891.76953125,,5965.7998046875,2813.47998046875,19474.890625,,1729622400.0,7642040000.0,164700000.0,
